==========================================================================================
Watermark Embedding
Selected? 0
==========================================================================================
PSNR	SSIM	Time	Filename
45.6987	00.9980	03.0721	1133.tif
45.5902	00.9924	02.7380	1134.tif
45.5549	00.9977	02.3641	1135.tif
45.5139	00.9981	02.8685	1136.tif
45.6883	00.9957	02.4575	1137.tif
45.6741	00.9945	02.4906	1138.tif
45.7054	00.9955	02.9757	1139.tif
45.4735	00.9948	02.5426	114.tif
45.6836	00.9955	02.7529	1140.tif
45.7050	00.9943	02.8282	1141.tif
45.5921	00.9909	02.2563	1142.tif
45.4908	00.9957	02.2959	1143.tif
45.6839	00.9971	02.6336	1144.tif
45.6214	00.9970	02.9489	1145.tif
45.5840	00.9909	02.2103	1146.tif
45.6540	00.9900	02.5832	1147.tif
45.6998	00.9916	03.1036	1148.tif
45.6921	00.9912	02.4269	1149.tif
45.6438	00.9957	02.6660	115.tif
45.7088	00.9928	02.5482	1150.tif
45.6962	00.9849	02.9333	1151.tif
45.6767	00.9915	02.8443	1152.tif
45.6902	00.9875	02.3945	1153.tif
45.7031	00.9917	02.9420	1154.tif
45.7029	00.9861	02.9377	1155.tif
45.6985	00.9880	02.7960	1156.tif
45.6921	00.9950	02.4837	1157.tif
45.6857	00.9911	02.4718	1158.tif
45.7011	00.9976	02.7067	1159.tif
45.4005	00.9946	02.4857	116.tif
45.6522	00.9859	02.6133	1160.tif
45.6681	00.9849	02.9215	1161.tif
45.6946	00.9841	02.3463	1162.tif
45.4760	00.9902	02.6456	1163.tif
45.7008	00.9906	02.5823	1164.tif
45.7102	00.9939	02.6772	1165.tif
45.6942	00.9954	02.7028	1166.tif
45.1539	00.9890	02.9869	1167.tif
45.5827	00.9897	02.7213	1168.tif
45.7114	00.9897	02.5820	1169.tif
45.6437	00.9960	02.5263	117.tif
44.5219	00.9893	02.1823	1170.tif
45.6882	00.9976	02.2668	1171.tif
45.7038	00.9948	02.5347	1172.tif
45.6919	00.9961	02.7789	1173.tif
45.6979	00.9967	02.5110	1174.tif
45.6956	00.9955	03.0244	1175.tif
45.4078	00.9941	02.9483	1176.tif
45.6985	00.9970	02.5045	1177.tif
44.9755	00.9918	02.4708	1178.tif
45.7034	00.9956	02.5895	1179.tif
45.7027	00.9954	02.7421	118.tif
45.7095	00.9976	02.8402	1180.tif
45.7077	00.9970	02.6875	1181.tif
45.6854	00.9986	02.4553	1182.tif
45.6925	00.9964	02.7859	1183.tif
45.6925	00.9924	03.0801	1184.tif
45.6890	00.9977	02.6579	1185.tif
44.3866	00.9896	02.7940	1186.tif
45.6905	00.9978	02.4789	1187.tif
45.6848	00.9947	03.0716	1188.tif
45.6883	00.9959	02.6675	1189.tif
45.6037	00.9943	02.7733	119.tif
45.6950	00.9981	02.1239	1190.tif
45.7008	00.9917	02.5224	1191.tif
45.6986	00.9957	02.4276	1192.tif
45.6786	00.9941	02.4673	1193.tif
44.8982	00.9910	02.2682	1194.tif
45.6343	00.9933	02.2196	1195.tif
45.6612	00.9932	02.6220	1196.tif
45.6856	00.9942	02.5214	1197.tif
45.6262	00.9946	02.5155	1198.tif
45.6949	00.9859	02.8011	1199.tif
45.6758	00.9946	02.8397	12.tif
45.6639	00.9956	02.6789	120.tif
45.5909	00.9966	03.0022	1200.tif
45.7034	00.9903	02.6077	1201.tif
45.6887	00.9919	02.8403	1202.tif
45.3120	00.9749	02.5302	1203.tif
45.4036	00.9766	02.4845	1204.tif
45.5439	00.9846	02.6748	1205.tif
45.6726	00.9947	02.6373	1206.tif
45.5861	00.9855	02.6735	1207.tif
45.6240	00.9870	02.8609	1208.tif
45.6448	00.9955	02.5251	1209.tif
45.5217	00.9922	02.2712	121.tif
45.5570	00.9840	02.7409	1210.tif
45.6027	00.9816	02.8501	1211.tif
45.3499	00.9752	02.9906	1212.tif
45.4950	00.9981	02.8423	1213.tif
45.5484	00.9867	03.2551	1214.tif
45.2350	00.9732	03.5180	1215.tif
45.7033	00.9968	02.8537	1216.tif
45.5716	00.9830	03.0472	1217.tif
45.5171	00.9941	03.1455	1218.tif
45.7018	00.9965	02.2832	1219.tif
45.6155	00.9935	02.5556	122.tif
45.5954	00.9930	02.6622	1220.tif
45.6841	00.9923	03.1136	1221.tif
45.5330	00.9916	02.5672	1222.tif
45.6293	00.9957	02.2900	1223.tif
45.5506	00.9913	02.5511	1224.tif
45.5318	00.9898	02.6610	1225.tif
45.6102	00.9930	02.7015	1226.tif
45.5965	00.9949	02.4855	1227.tif
45.5493	00.9932	02.9964	1228.tif
45.6737	00.9930	02.2965	1229.tif
45.3411	00.9937	02.6218	123.tif
45.2956	00.9871	02.8148	1230.tif
45.6812	00.9923	02.7447	1231.tif
45.6893	00.9948	03.0439	1232.tif
45.6943	00.9979	02.5757	1233.tif
45.7004	00.9972	02.0924	1234.tif
45.6215	00.9947	03.0358	1235.tif
45.6972	00.9984	02.3266	1236.tif
45.6653	00.9915	02.8275	1237.tif
45.6246	00.9899	02.6232	1238.tif
45.6331	00.9920	02.6475	1239.tif
45.5443	00.9946	02.3039	124.tif
45.6887	00.9948	02.5618	1240.tif
45.0470	00.9856	03.3111	1241.tif
45.4648	00.9889	02.7848	1242.tif
45.6859	00.9921	02.4130	1243.tif
44.8422	00.9912	02.5753	1244.tif
45.6992	00.9932	02.2384	1245.tif
45.7027	00.9942	02.3473	1246.tif
45.6919	00.9943	02.9308	1247.tif
45.6620	00.9882	02.7296	1248.tif
45.6266	00.9884	02.6153	1249.tif
45.5909	00.9943	02.5172	125.tif
45.5809	00.9913	02.5040	1250.tif
45.7053	00.9967	02.6261	1251.tif
45.7008	00.9972	02.4196	1252.tif
45.7035	00.9976	02.6454	1253.tif
45.7083	00.9979	02.8442	1254.tif
45.6898	00.9972	02.5856	1255.tif
45.6874	00.9968	02.6361	1256.tif
45.6987	00.9947	02.9022	1257.tif
45.5858	00.9857	02.7556	1258.tif
45.5194	00.9944	02.7881	1259.tif
45.6951	00.9945	02.7213	126.tif
45.6814	00.9964	02.3303	1260.tif
45.7011	00.9970	02.7827	1261.tif
45.6946	00.9976	03.0788	1262.tif
45.6995	00.9980	02.3696	1263.tif
45.5548	00.9965	02.4269	1264.tif
45.5888	00.9969	03.0533	1265.tif
45.6387	00.9914	02.9325	1266.tif
45.6966	00.9949	02.8477	1267.tif
45.6837	00.9962	02.3601	1268.tif
45.6726	00.9951	02.2780	1269.tif
45.6913	00.9935	02.4777	127.tif
45.6840	00.9957	02.4143	1270.tif
45.6795	00.9947	02.4224	1271.tif
45.6932	00.9905	02.9318	1272.tif
45.4141	00.9944	03.1025	1273.tif
45.6966	00.9975	02.6495	1274.tif
45.6856	00.9965	02.5257	1275.tif
45.7048	00.9989	02.6162	1276.tif
45.6911	00.9994	02.6361	1277.tif
45.6942	00.9954	02.5848	1278.tif
45.1480	00.9929	02.4029	1279.tif
45.6963	00.9970	03.4771	128.tif
45.6918	00.9982	02.5565	1280.tif
45.6323	00.9945	02.3811	1281.tif
45.6760	00.9972	02.5076	1282.tif
45.6832	00.9949	02.7200	1283.tif
45.6747	00.9972	02.2918	1284.tif
45.6922	00.9930	02.4630	1285.tif
45.6846	00.9958	02.8190	1286.tif
45.6924	00.9936	02.7553	1287.tif
45.6922	00.9958	02.9439	1288.tif
45.6927	00.9917	02.7001	1289.tif
45.6950	00.9967	02.5098	129.tif
45.6953	00.9907	02.5546	1290.tif
45.6883	00.9913	02.4687	1291.tif
45.6920	00.9924	02.4543	1292.tif
45.7082	00.9938	02.5186	1293.tif
45.7033	00.9953	02.7507	1294.tif
45.6883	00.9932	03.3574	1295.tif
45.6956	00.9912	02.8973	1296.tif
45.6952	00.9946	02.6052	1297.tif
45.6889	00.9926	02.9425	1298.tif
45.4723	00.9951	02.3977	1299.tif
45.6159	00.9947	02.5990	13.tif
45.6922	00.9962	02.9115	130.tif
45.6880	00.9918	02.5159	1300.tif
45.6964	00.9952	03.0891	1301.tif
45.0405	00.9935	02.9480	1302.tif
45.6847	00.9932	02.3419	1303.tif
45.6870	00.9954	02.4132	1304.tif
45.7164	00.9958	02.8594	1305.tif
45.7003	00.9966	02.4628	1306.tif
45.7012	00.9968	03.5526	1307.tif
45.7040	00.9924	02.8439	1308.tif
45.7042	00.9962	02.9564	1309.tif
45.6880	00.9966	02.7553	131.tif
45.7043	00.9907	02.7627	1310.tif
45.3012	00.9912	03.6713	1311.tif
45.7060	00.9963	02.9497	1312.tif
45.6260	00.9939	02.2895	1313.tif
45.6234	00.9970	02.8333	1314.tif
45.6766	00.9968	02.7884	1315.tif
45.6782	00.9971	02.5877	1316.tif
45.6766	00.9949	02.7879	1317.tif
45.7070	00.9952	02.9125	1318.tif
45.6503	00.9898	02.7982	1319.tif
45.6645	00.9979	02.2573	132.tif
45.6448	00.9924	02.6506	1320.tif
45.5770	00.9977	02.6356	1321.tif
45.4414	00.9966	02.6192	1322.tif
45.1313	00.9912	02.7381	1323.tif
45.6965	00.9984	02.9579	1324.tif
45.6955	00.9984	02.7045	1325.tif
45.6953	00.9959	02.5430	1326.tif
45.6928	00.9971	02.2614	1327.tif
45.6933	00.9951	02.8023	1328.tif
45.7014	00.9966	02.1262	1329.tif
45.4827	00.9946	02.8460	133.tif
45.6979	00.9938	02.6275	1330.tif
45.7032	00.9965	02.6138	1331.tif
45.7032	00.9951	02.5393	1332.tif
45.7179	00.9955	02.6766	1333.tif
45.6711	00.9943	02.7102	1334.tif
45.6992	00.9968	02.5333	1335.tif
45.6667	00.9983	02.8129	1336.tif
45.6091	00.9971	02.4903	1337.tif
45.5786	00.9922	02.7950	1338.tif
45.5829	00.9964	02.9907	134.tif
45.6851	00.9971	02.2898	135.tif
45.4972	00.9962	02.5331	136.tif
45.6824	00.9977	02.6501	137.tif
45.6888	00.9971	02.8091	138.tif
45.6709	00.9970	02.7455	139.tif
45.6555	00.9946	02.7384	14.tif
45.4457	00.9920	02.8360	140.tif
45.6927	00.9973	02.2090	141.tif
45.6922	00.9982	02.5627	142.tif
45.6807	00.9977	02.5326	143.tif
45.6786	00.9976	02.5258	144.tif
45.6988	00.9960	02.2600	145.tif
44.1272	00.9869	02.6677	146.tif
45.6910	00.9895	02.5839	147.tif
45.1176	00.9926	02.4360	148.tif
45.6872	00.9987	02.3133	149.tif
44.5818	00.9893	02.4296	15.tif
45.6940	00.9983	02.7117	150.tif
45.6998	00.9983	02.4917	151.tif
45.6976	00.9982	02.3974	152.tif
45.6493	00.9969	02.9834	153.tif
45.5165	00.9966	02.3285	154.tif
45.3401	00.9922	02.4018	155.tif
45.3396	00.9950	02.3521	156.tif
45.6994	00.9968	03.2275	157.tif
45.6947	00.9977	02.5674	158.tif
45.7020	00.9971	02.6842	159.tif
45.2491	00.9935	02.7975	16.tif
45.6218	00.9965	02.3659	160.tif
45.6383	00.9980	02.3629	161.tif
45.4356	00.9961	02.3585	162.tif
45.6741	00.9973	02.9409	163.tif
45.6837	00.9981	02.4780	164.tif
45.1563	00.9935	02.5675	165.tif
45.5093	00.9963	03.2159	166.tif
45.3384	00.9930	02.6282	167.tif
45.2475	00.9950	02.6856	168.tif
45.6221	00.9967	02.2342	169.tif
45.6120	00.9966	02.4016	17.tif
45.6962	00.9965	02.5548	170.tif
45.6950	00.9963	02.4199	171.tif
45.6983	00.9961	02.9195	172.tif
45.6851	00.9956	02.4143	173.tif
45.4487	00.9968	02.8272	174.tif
45.6808	00.9976	02.4889	175.tif
45.5959	00.9975	02.7133	176.tif
45.5560	00.9967	02.5103	177.tif
45.6651	00.9979	02.7373	178.tif
45.6875	00.9983	02.6009	179.tif
45.4179	00.9961	02.8395	18.tif
45.0621	00.9941	02.8943	180.tif
45.2180	00.9951	02.4566	181.tif
45.4297	00.9955	02.5860	182.tif
45.6012	00.9970	02.4248	183.tif
45.6924	00.9970	02.6141	184.tif
45.6581	00.9970	02.5507	185.tif
45.6075	00.9975	02.6106	186.tif
45.6983	00.9974	02.3044	187.tif
45.7006	00.9983	02.3253	188.tif
45.6895	00.9973	02.8644	189.tif
