==========================================================================================
Watermark Embedding
Selected? 0
==========================================================================================
PSNR	SSIM	Time	Filename
45.6737	00.9979	04.2589	kodim01.png
45.6745	00.9995	04.2283	kodim02.png
45.6394	00.9948	03.7619	kodim03.png
45.6834	00.9979	03.7362	kodim04.png
45.6447	00.9973	03.5561	kodim05.png
45.4646	00.9973	03.7371	kodim06.png
45.6756	00.9961	03.7565	kodim07.png
45.5411	00.9971	03.7418	kodim08.png
45.6924	00.9903	03.9879	kodim09.png
45.6582	00.9928	03.6958	kodim10.png
45.6937	00.9941	03.7272	kodim11.png
45.6171	00.9969	03.7850	kodim12.png
45.6059	00.9980	03.6357	kodim13.png
45.6847	00.9958	03.6954	kodim14.png
45.4741	00.9953	03.7463	kodim15.png
45.6629	00.9937	03.9216	kodim16.png
45.6771	00.9908	04.0305	kodim17.png
45.6669	00.9943	03.8147	kodim18.png
45.6762	00.9938	03.8240	kodim19.png
44.4201	00.9913	03.9059	kodim20.png
45.6381	00.9964	03.8280	kodim21.png
45.6362	00.9954	03.8479	kodim22.png
45.6358	00.9964	04.6971	kodim23.png
45.4563	00.9944	03.8957	kodim24.png
==========================================================================================
Watermark Embedding time: 99.5719
==========================================================================================
Image Tampering
Selected? 0
Tamper rate/s? 10 20 30 40 50 60 70 80
Tamper location? 5
==========================================================================================
PSNR	SSIM	Time	Filename
19.2910	00.8966	00.0733	kodim01-10-cc.png
16.0980	00.7961	00.0720	kodim01-20-cc.png
14.4892	00.6960	00.0721	kodim01-30-cc.png
13.3070	00.5958	00.0802	kodim01-40-cc.png
12.3643	00.4971	00.0752	kodim01-50-cc.png
11.5469	00.3959	00.0732	kodim01-60-cc.png
10.8390	00.2970	00.0700	kodim01-70-cc.png
10.2031	00.1974	00.0676	kodim01-80-cc.png
17.6280	00.8988	00.1166	kodim02-10-cc.png
14.6871	00.7992	00.1111	kodim02-20-cc.png
12.9249	00.6993	00.1119	kodim02-30-cc.png
11.6607	00.5990	00.0986	kodim02-40-cc.png
10.6979	00.4997	00.0903	kodim02-50-cc.png
09.9096	00.3994	00.0853	kodim02-60-cc.png
09.2540	00.3008	00.0802	kodim02-70-cc.png
08.6864	00.2017	00.0751	kodim02-80-cc.png
18.0030	00.8922	00.1522	kodim03-10-cc.png
15.1981	00.7917	00.1351	kodim03-20-cc.png
