==========================================================================================
Watermark Embedding
Selected? 0
==========================================================================================
PSNR	SSIM	Time	Filename
11.0884	00.3934	00.0960	kodim12-60-cc.png
10.3992	00.2942	00.0860	kodim12-70-cc.png
09.7962	00.1952	00.0788	kodim12-80-cc.png
18.6426	00.8966	00.0669	kodim13-10-cc.png
15.6222	00.7962	00.0684	kodim13-20-cc.png
13.8459	00.6965	00.0689	kodim13-30-cc.png
12.5722	00.5953	00.0706	kodim13-40-cc.png
11.6158	00.4964	00.0694	kodim13-50-cc.png
10.7950	00.3949	00.0682	kodim13-60-cc.png
10.1023	00.2962	00.0657	kodim13-70-cc.png
09.4952	00.1961	00.0638	kodim13-80-cc.png
18.4394	00.8953	00.0839	kodim14-10-cc.png
15.4282	00.7958	00.0878	kodim14-20-cc.png
13.7319	00.6944	00.0790	kodim14-30-cc.png
12.4971	00.5937	00.0795	kodim14-40-cc.png
11.5002	00.4913	00.0751	kodim14-50-cc.png
10.6649	00.3901	00.0727	kodim14-60-cc.png
09.9582	00.2908	00.0706	kodim14-70-cc.png
09.3684	00.1917	00.0685	kodim14-80-cc.png
18.0006	00.8933	00.1221	kodim15-10-cc.png
14.8322	00.7924	00.1159	kodim15-20-cc.png
12.8000	00.6917	00.1048	kodim15-30-cc.png
11.3834	00.5903	00.0955	kodim15-40-cc.png
10.3003	00.4910	00.0870	kodim15-50-cc.png
09.4199	00.3899	00.0807	kodim15-60-cc.png
08.7020	00.2910	00.0791	kodim15-70-cc.png
08.0701	00.1914	00.0691	kodim15-80-cc.png
19.5033	00.8919	00.1308	kodim16-10-cc.png
16.5116	00.7920	00.1227	kodim16-20-cc.png
14.6263	00.6916	00.1131	kodim16-30-cc.png
13.3093	00.5913	00.1076	kodim16-40-cc.png
12.3069	00.4913	00.0991	kodim16-50-cc.png
11.4715	00.3908	00.0907	kodim16-60-cc.png
10.7801	00.2916	00.0848	kodim16-70-cc.png
10.1626	00.1917	00.0754	kodim16-80-cc.png
19.8248	00.8901	00.1199	kodim17-10-cc.png
16.5819	00.7900	00.1185	kodim17-20-cc.png
14.3985	00.6888	00.1163	kodim17-30-cc.png
12.8241	00.5881	00.1065	kodim17-40-cc.png
11.5698	00.4868	00.0990	kodim17-50-cc.png
10.5565	00.3858	00.0912	kodim17-60-cc.png
09.7379	00.2871	00.0831	kodim17-70-cc.png
09.0400	00.1868	00.0760	kodim17-80-cc.png
17.6457	00.8919	00.0762	kodim18-10-cc.png
14.7224	00.7922	00.0782	kodim18-20-cc.png
12.9506	00.6920	00.0747	kodim18-30-cc.png
11.7137	00.5908	00.0714	kodim18-40-cc.png
10.7745	00.4923	00.0683	kodim18-50-cc.png
09.9844	00.3911	00.0661	kodim18-60-cc.png
09.3306	00.2934	00.0651	kodim18-70-cc.png
08.7410	00.1950	00.0688	kodim18-80-cc.png
19.2766	00.8935	00.1092	kodim19-10-cc.png
16.0774	00.7932	00.1040	kodim19-20-cc.png
14.2142	00.6920	00.0982	kodim19-30-cc.png
12.9645	00.5919	00.0914	kodim19-40-cc.png
11.9889	00.4918	00.0863	kodim19-50-cc.png
11.2090	00.3914	00.0795	kodim19-60-cc.png
10.5916	00.2939	00.0754	kodim19-70-cc.png
10.0339	00.1947	00.0698	kodim19-80-cc.png
16.4434	00.8884	00.1369	kodim20-10-cc.png
13.3324	00.7866	00.1244	kodim20-20-cc.png
11.4936	00.6867	00.1165	kodim20-30-cc.png
10.2538	00.5871	00.1080	kodim20-40-cc.png
09.2984	00.4875	00.0952	kodim20-50-cc.png
08.5026	00.3870	00.0876	kodim20-60-cc.png
07.8337	00.2883	00.0794	kodim20-70-cc.png
07.2539	00.1891	00.0743	kodim20-80-cc.png
18.7875	00.8948	00.1131	kodim21-10-cc.png
16.0918	00.7950	00.1073	kodim21-20-cc.png
14.4623	00.6947	00.1003	kodim21-30-cc.png
13.2336	00.5942	00.0949	kodim21-40-cc.png
12.2572	00.4958	00.0871	kodim21-50-cc.png
11.4723	00.3953	00.0807	kodim21-60-cc.png
10.8205	00.2955	00.0750	kodim21-70-cc.png
10.2683	00.1964	00.0693	kodim21-80-cc.png
18.7365	00.8945	00.0978	kodim22-10-cc.png
15.7382	00.7937	00.0938	kodim22-20-cc.png
13.9888	00.6928	00.0887	kodim22-30-cc.png
12.7975	00.5931	00.0874	kodim22-40-cc.png
11.9100	00.4928	00.0828	kodim22-50-cc.png
11.2084	00.3927	00.0781	kodim22-60-cc.png
10.6242	00.2941	00.0749	kodim22-70-cc.png
10.1000	00.1952	00.0691	kodim22-80-cc.png
18.5954	00.8954	00.1534	kodim23-10-cc.png
15.3991	00.7960	00.1431	kodim23-20-cc.png
13.5287	00.6958	00.1310	kodim23-30-cc.png
12.2592	00.5939	00.1177	kodim23-40-cc.png
11.3563	00.4937	00.1113	kodim23-50-cc.png
10.6135	00.3932	00.0997	kodim23-60-cc.png
09.9828	00.2944	00.0854	kodim23-70-cc.png
09.4076	00.1950	00.0762	kodim23-80-cc.png
19.4621	00.8922	00.0992	kodim24-10-cc.png
16.4559	00.7927	00.0920	kodim24-20-cc.png
14.4639	00.6913	00.0861	kodim24-30-cc.png
13.1374	00.5918	00.0809	kodim24-40-cc.png
12.1414	00.4931	00.0755	kodim24-50-cc.png
11.2583	00.3923	00.0716	kodim24-60-cc.png
10.5199	00.2956	00.0690	kodim24-70-cc.png
09.8346	00.1950	00.0674	kodim24-80-cc.png
==========================================================================================
Image Tampering time: 33.4463
==========================================================================================
Tamper Detection
Selected? 0
==========================================================================================
TamRate	TPRate	FNRate	FPRate	TNRate	Prcsion	F1Score	Accracy	Time	Filename
00.1001	01.0000	00.0000	00.0005	00.9995	00.9995	00.9998	00.9998	05.7629	kodim01-10-cc.png
00.1998	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	05.1475	kodim01-20-cc.png
00.2998	01.0000	00.0000	00.0041	00.9959	00.9959	00.9980	00.9980	05.1025	kodim01-30-cc.png
00.4005	01.0000	00.0000	00.0041	00.9959	00.9959	00.9979	00.9979	05.1417	kodim01-40-cc.png
00.4999	01.0000	00.0000	00.0018	00.9982	00.9982	00.9991	00.9991	04.9496	kodim01-50-cc.png
00.6007	01.0000	00.0000	00.0063	00.9937	00.9937	00.9968	00.9968	04.9696	kodim01-60-cc.png
00.6999	01.0000	00.0000	00.0145	00.9855	00.9857	00.9928	00.9927	04.9146	kodim01-70-cc.png
00.8002	01.0000	00.0000	00.0058	00.9942	00.9942	00.9971	00.9971	04.8132	kodim01-80-cc.png
00.1001	01.0000	00.0000	00.0005	00.9995	00.9995	00.9998	00.9998	05.2213	kodim02-10-cc.png
