==========================================================================================
Watermark Embedding
Selected? 0
==========================================================================================
PSNR	SSIM	Time	Filename
46.0479	00.9981	04.7758	kodim01.png
46.0508	00.9995	04.6728	kodim02.png
46.0160	00.9954	04.7089	kodim03.png
46.0448	00.9981	04.6274	kodim04.png
46.0152	00.9976	04.6235	kodim05.png
45.8012	00.9976	04.7473	kodim06.png
46.0552	00.9965	04.7219	kodim07.png
45.8941	00.9974	04.7148	kodim08.png
46.0495	00.9914	04.8331	kodim09.png
46.0187	00.9936	04.7030	kodim10.png
46.0581	00.9947	04.7468	kodim11.png
45.9748	00.9973	04.7843	kodim12.png
45.9537	00.9982	04.7324	kodim13.png
46.0380	00.9963	04.7280	kodim14.png
45.8309	00.9958	04.8664	kodim15.png
46.0357	00.9944	04.7899	kodim16.png
46.0475	00.9919	04.7912	kodim17.png
46.0190	00.9950	04.6937	kodim18.png
46.0351	00.9946	04.7419	kodim19.png
44.5003	00.9915	05.0177	kodim20.png
46.0042	00.9968	04.7290	kodim21.png
45.9944	00.9959	04.7348	kodim22.png
45.9827	00.9968	04.8409	kodim23.png
45.7497	00.9950	04.7214	kodim24.png
==========================================================================================
Watermark Embedding time: 120.5028
==========================================================================================
Image Tampering
Selected? 0
Tamper rate/s? 10 20 30 40 50 60 70 80
Tamper location? 5
==========================================================================================
PSNR	SSIM	Time	Filename
19.3170	00.8967	00.0744	kodim01-10-cc.png
16.1093	00.7965	00.0725	kodim01-20-cc.png
14.4753	00.6955	00.0724	kodim01-30-cc.png
13.3101	00.5957	00.0715	kodim01-40-cc.png
12.3659	00.4972	00.0713	kodim01-50-cc.png
11.5474	00.3971	00.0673	kodim01-60-cc.png
10.8339	00.2960	00.0665	kodim01-70-cc.png
10.2053	00.1970	00.0660	kodim01-80-cc.png
17.6339	00.8985	00.1157	kodim02-10-cc.png
14.6698	00.7987	00.1092	kodim02-20-cc.png
12.9096	00.6987	00.1139	kodim02-30-cc.png
11.6495	00.5984	00.1004	kodim02-40-cc.png
10.6971	00.4993	00.0948	kodim02-50-cc.png
09.9179	00.4007	00.0872	kodim02-60-cc.png
09.2499	00.3001	00.0794	kodim02-70-cc.png
08.6912	00.2023	00.0808	kodim02-80-cc.png
18.0050	00.8927	00.1562	kodim03-10-cc.png
15.1933	00.7920	00.1402	kodim03-20-cc.png
13.5285	00.6921	00.1261	kodim03-30-cc.png
12.3568	00.5909	00.1131	kodim03-40-cc.png
11.4487	00.4900	00.1063	kodim03-50-cc.png
10.6978	00.3912	00.0938	kodim03-60-cc.png
10.0985	00.2903	00.0852	kodim03-70-cc.png
09.6278	00.1930	00.0764	kodim03-80-cc.png
19.8877	00.8956	00.1064	kodim04-10-cc.png
16.6192	00.7955	00.1008	kodim04-20-cc.png
14.3958	00.6964	00.0999	kodim04-30-cc.png
12.8665	00.5963	00.0923	kodim04-40-cc.png
11.7864	00.4967	00.0823	kodim04-50-cc.png
10.9616	00.3971	00.0790	kodim04-60-cc.png
10.2636	00.2968	00.0754	kodim04-70-cc.png
09.6961	00.1985	00.0708	kodim04-80-cc.png
17.5881	00.8958	00.0791	kodim05-10-cc.png
14.6621	00.7948	00.0781	kodim05-20-cc.png
13.0171	00.6942	00.0755	kodim05-30-cc.png
11.7595	00.5929	00.0734	kodim05-40-cc.png
10.8354	00.4934	00.0743	kodim05-50-cc.png
10.0793	00.3945	00.0712	kodim05-60-cc.png
09.4222	00.2937	00.0681	kodim05-70-cc.png
08.8908	00.1943	00.0670	kodim05-80-cc.png
19.6335	00.8958	00.1107	kodim06-10-cc.png
16.4914	00.7949	00.1064	kodim06-20-cc.png
14.5373	00.6950	00.1017	kodim06-30-cc.png
13.0465	00.5937	00.0980	kodim06-40-cc.png
11.9227	00.4938	00.0921	kodim06-50-cc.png
11.0331	00.3943	00.0856	kodim06-60-cc.png
10.2707	00.2944	00.0780	kodim06-70-cc.png
09.6019	00.1945	00.0732	kodim06-80-cc.png
18.9245	00.8943	00.1321	kodim07-10-cc.png
15.7778	00.7933	00.1264	kodim07-20-cc.png
14.0777	00.6926	00.1158	kodim07-30-cc.png
