==========================================================================================
Watermark Embedding
Selected? 0
==========================================================================================
PSNR	SSIM	Time	Filename
45.7150	00.9916	02.7656	1.tif
45.9026	00.9960	02.2279	10.tif
46.0564	00.9978	02.1692	100.tif
45.9935	00.9976	02.1812	1000.tif
46.0361	00.9974	02.2298	1001.tif
46.0431	00.9964	02.2085	1002.tif
46.0647	00.9945	02.2116	1003.tif
46.0498	00.9970	02.2318	1004.tif
46.0602	00.9957	02.2703	1005.tif
46.0641	00.9984	02.1975	1006.tif
46.0636	00.9947	02.3072	1007.tif
46.0517	00.9971	02.2341	1008.tif
46.0608	00.9979	02.2432	1009.tif
46.0562	00.9963	02.2060	101.tif
46.0590	00.9984	02.2449	1010.tif
46.0555	00.9955	02.2810	1011.tif
46.0643	00.9974	02.2852	1012.tif
46.0571	00.9960	02.3231	1013.tif
46.0525	00.9965	02.2694	1014.tif
46.0689	00.9965	02.3015	1015.tif
46.0567	00.9967	02.2661	1016.tif
45.9531	00.9966	02.3012	1017.tif
45.9830	00.9922	02.3022	1018.tif
46.0162	00.9953	02.2789	1019.tif
46.0449	00.9977	02.1614	102.tif
45.9224	00.9949	02.2849	1020.tif
45.9421	00.9948	02.2864	1021.tif
45.9905	00.9985	02.2266	1022.tif
45.9929	00.9985	02.2337	1023.tif
45.9740	00.9986	02.2267	1024.tif
45.9100	00.9964	02.2819	1025.tif
46.0051	00.9983	02.2664	1026.tif
45.9562	00.9975	02.2491	1027.tif
46.0242	00.9969	02.1996	1028.tif
45.9890	00.9980	02.2292	1029.tif
45.9825	00.9933	02.2992	103.tif
45.7583	00.9997	02.2344	1030.tif
45.6469	00.9971	02.2410	1031.tif
45.9763	00.9981	02.2369	1032.tif
46.0060	00.9974	02.2453	1033.tif
45.9885	00.9965	02.2251	1034.tif
46.0542	00.9986	02.2611	1035.tif
46.0672	00.9982	02.2806	1036.tif
46.0267	00.9979	02.1982	1037.tif
45.8719	00.9973	02.2827	1038.tif
45.7901	00.9989	02.1657	1039.tif
45.9536	00.9964	02.2160	104.tif
45.8589	00.9989	02.2335	1040.tif
45.8543	00.9995	02.2512	1041.tif
46.0517	00.9952	02.2711	1042.tif
46.0023	00.9984	02.2142	1043.tif
46.0391	00.9984	02.1989	1044.tif
45.9648	00.9992	02.2223	1045.tif
45.9261	00.9997	02.2108	1046.tif
46.0244	00.9972	02.2727	1047.tif
46.0490	00.9965	02.2104	1048.tif
45.8508	00.9988	02.2627	1049.tif
45.4192	00.9912	02.2695	105.tif
45.7006	00.9984	02.3371	1050.tif
45.7328	00.9981	02.2438	1051.tif
46.0554	00.9973	02.2944	1052.tif
46.0557	00.9973	02.3254	1053.tif
46.0527	00.9948	02.2424	1054.tif
46.0557	00.9949	02.3210	1055.tif
45.7967	00.9958	02.2312	1056.tif
46.0553	00.9902	02.2861	1057.tif
46.0561	00.9991	02.3307	1058.tif
45.3657	00.9899	02.4104	1059.tif
46.0453	00.9946	02.2784	106.tif
45.4806	00.9898	02.3910	1060.tif
45.9844	00.9981	02.2778	1061.tif
46.0155	00.9964	02.2392	1062.tif
45.7786	00.9997	02.2322	1063.tif
45.6321	00.9996	02.1906	1064.tif
45.9042	00.9976	02.2410	1065.tif
45.9801	00.9958	02.2615	1066.tif
46.0227	00.9958	02.2590	1067.tif
45.8268	00.9979	02.7294	1068.tif
45.9164	00.9973	02.3925	1069.tif
46.0168	00.9963	02.2343	107.tif
45.8902	00.9939	02.3473	1070.tif
45.8641	00.9974	02.2691	1071.tif
45.9324	00.9941	02.3161	1072.tif
46.0259	00.9979	02.3539	1073.tif
45.9767	00.9960	02.2648	1074.tif
46.0667	00.9969	02.5805	1075.tif
46.0481	00.9969	02.2731	1076.tif
46.0577	00.9963	02.3205	1077.tif
46.0189	00.9986	02.2196	1078.tif
45.9958	00.9975	02.2466	1079.tif
46.0458	00.9958	02.2268	108.tif
45.9719	00.9966	02.2317	1080.tif
46.0282	00.9979	02.2767	1081.tif
46.0336	00.9983	02.2560	1082.tif
46.0022	00.9955	02.3413	1083.tif
45.9974	00.9961	02.2853	1084.tif
45.9598	00.9958	02.3348	1085.tif
46.0025	00.9950	02.2837	1086.tif
45.7514	00.9858	02.3421	1087.tif
45.3188	00.9942	02.3537	1088.tif
45.9917	00.9975	02.2911	1089.tif
45.8401	00.9948	02.2982	109.tif
46.0149	00.9961	02.2728	1090.tif
46.0313	00.9968	02.2717	1091.tif
46.0380	00.9964	02.3018	1092.tif
45.9889	00.9974	02.3121	1093.tif
46.0181	00.9974	02.2856	1094.tif
45.9946	00.9960	02.2915	1095.tif
46.0133	00.9962	02.2723	1096.tif
46.0373	00.9958	02.3191	1097.tif
46.0508	00.9970	02.2868	1098.tif
46.0402	00.9947	02.3213	1099.tif
46.0555	00.9963	02.3246	11.tif
46.0492	00.9962	02.2784	110.tif
45.8459	00.9952	02.3112	1100.tif
46.0173	00.9963	02.3164	1101.tif
46.0447	00.9949	02.3420	1102.tif
46.0660	00.9951	02.3398	1103.tif
46.0388	00.9961	02.3486	1104.tif
46.0475	00.9970	02.3403	1105.tif
46.0412	00.9953	02.3595	1106.tif
46.0425	00.9954	02.3335	1107.tif
46.0148	00.9974	02.3339	1108.tif
46.0333	00.9930	02.3591	1109.tif
46.0539	00.9958	02.3179	111.tif
46.0073	00.9960	02.3668	1110.tif
46.0091	00.9971	02.4247	1111.tif
46.0380	00.9966	02.3765	1112.tif
46.0157	00.9958	02.3569	1113.tif
46.0199	00.9960	02.3523	1114.tif
46.0228	00.9983	02.3502	1115.tif
46.0445	00.9973	02.3806	1116.tif
45.9998	00.9990	02.3629	1117.tif
46.0070	00.9988	02.3499	1118.tif
46.0513	00.9963	02.4032	1119.tif
45.3468	00.9931	02.3653	112.tif
45.6492	00.9946	02.4312	1120.tif
45.9668	00.9940	02.4021	1121.tif
46.0157	00.9970	02.3855	1122.tif
45.9950	00.9982	02.4029	1123.tif
46.0448	00.9968	02.4137	1124.tif
46.0697	00.9975	02.4723	1125.tif
46.0655	00.9992	02.4369	1126.tif
46.0603	00.9971	02.4749	1127.tif
46.0470	00.9988	02.4138	1128.tif
46.0577	00.9985	02.4271	1129.tif
46.0588	00.9978	02.3525	113.tif
46.0125	00.9980	02.3815	1130.tif
45.8404	00.9935	02.5100	1131.tif
46.0546	00.9956	02.4301	1132.tif
46.0496	00.9982	02.4909	1133.tif
45.9206	00.9932	02.4789	1134.tif
45.8551	00.9979	02.3972	1135.tif
45.8304	00.9982	02.3831	1136.tif
46.0526	00.9962	02.4137	1137.tif
46.0417	00.9952	02.4052	1138.tif
46.0524	00.9960	02.4446	1139.tif
45.7913	00.9953	02.3558	114.tif
46.0454	00.9959	02.4345	1140.tif
46.0605	00.9950	02.4308	1141.tif
45.9009	00.9918	02.4288	1142.tif
45.7848	00.9961	02.4059	1143.tif
46.0509	00.9975	02.4373	1144.tif
45.9770	00.9973	02.3746	1145.tif
45.9405	00.9919	02.4287	1146.tif
46.0078	00.9909	02.4297	1147.tif
46.0520	00.9926	02.3880	1148.tif
46.0594	00.9923	02.6114	1149.tif
45.9928	00.9962	02.3569	115.tif
46.0602	00.9936	02.4472	1150.tif
46.0542	00.9867	02.4963	1151.tif
46.0392	00.9926	02.4096	1152.tif
46.0546	00.9890	02.4724	1153.tif
46.0612	00.9927	02.4573	1154.tif
46.0622	00.9877	02.4963	1155.tif
46.0625	00.9895	02.4195	1156.tif
46.0462	00.9956	02.4075	1157.tif
46.0554	00.9922	02.4471	1158.tif
46.0603	00.9979	02.3838	1159.tif
45.7102	00.9950	02.3959	116.tif
46.0193	00.9876	02.4978	1160.tif
46.0462	00.9868	02.4900	1161.tif
