AuSR,Dataset,File,TR,PSNR,SSIM,TCP,Time
1,2,5,40,24.0035,0.8592,0.2595,7.0652
1,2,5,50,22.4081,0.7992,0.3765,8.6026
1,2,5,60,20.9218,0.7252,0.5091,11.5427
1,2,5,70,19.3838,0.6394,0.6433,17.9763
1,2,5,80,17.7727,0.5365,0.7698,36.0377
1,2,6,10,33.3794,0.9724,0.0189,5.3057
1,2,6,20,30.339,0.9461,0.0725,6.5577
1,2,6,30,28.162,0.918,0.1551,7.347
1,2,6,40,26.7203,0.8901,0.2595,7.6568
1,2,6,50,25.4586,0.8579,0.3765,8.6004
1,2,6,60,24.2831,0.8203,0.5091,11.5451
1,2,6,70,23.1171,0.7763,0.6433,17.8661
1,2,6,80,21.8216,0.724,0.7698,35.8022
1,2,7,10,36.2761,0.989,0.0189,5.3166
1,2,7,20,32.6347,0.976,0.0725,5.6228
1,2,7,30,30.4169,0.9586,0.1551,6.1936
1,2,7,40,28.5796,0.9357,0.2595,7.1184
1,2,7,50,26.9779,0.9077,0.3765,8.5331
1,2,7,60,25.2547,0.8698,0.5091,11.7272
1,2,7,70,23.5723,0.823,0.6433,18.2674
1,2,7,80,21.7524,0.7676,0.7698,35.7372
1,2,8,10,32.0499,0.9776,0.0189,5.2103
1,2,8,20,27.7045,0.9461,0.0725,5.4763
1,2,8,30,24.3221,0.897,0.1551,6.1025
1,2,8,40,22.3067,0.8384,0.2595,7.1141
1,2,8,50,20.7558,0.77,0.3765,8.5226
1,2,8,60,19.1375,0.686,0.5091,11.5832
1,2,8,70,17.7342,0.5952,0.6433,17.9039
1,2,8,80,16.3051,0.4879,0.7698,36.0636
1,2,9,10,36.7342,0.9819,0.0194,5.3154
1,2,9,20,33.6352,0.9703,0.0726,5.5732
1,2,9,30,31.0405,0.9543,0.1554,6.1173
1,2,9,40,28.6561,0.9332,0.2589,7.1109
1,2,9,50,26.8989,0.903,0.3758,8.4223
1,2,9,60,25.411,0.8622,0.5087,11.3919
1,2,9,70,24.0816,0.8158,0.6429,17.6799
1,2,9,80,22.513,0.7571,0.7699,36.2083
1,2,10,10,42.2617,0.9876,0.0194,5.4373
1,2,10,20,37.8437,0.9777,0.0726,5.8447
1,2,10,30,34.3088,0.9628,0.1554,6.0821
1,2,10,40,31.9156,0.9419,0.2589,6.9603
1,2,10,50,29.7679,0.9133,0.3758,8.4699
1,2,10,60,27.4703,0.8722,0.5087,11.4055
1,2,10,70,25.7353,0.8208,0.6429,17.874
1,2,10,80,23.8774,0.7519,0.7699,35.9483
1,2,11,10,32.4165,0.9779,0.0189,5.2795
1,2,11,20,29.8654,0.9601,0.0725,5.5866
1,2,11,30,28.2794,0.9392,0.1551,6.1818
1,2,11,40,26.586,0.9069,0.2595,7.1108
1,2,11,50,25.3332,0.8731,0.3765,8.5573
1,2,11,60,24.1883,0.8316,0.509,11.535
1,2,11,70,23.0498,0.7867,0.6433,17.9026
1,2,11,80,21.5947,0.7294,0.7698,35.8524
1,2,12,10,36.9638,0.9898,0.0189,5.2911
1,2,12,20,34.1192,0.98,0.0725,5.6218
1,2,12,30,32.0833,0.9682,0.1551,6.1992
1,2,12,40,30.7795,0.9564,0.2595,7.1301
1,2,12,50,29.6346,0.9456,0.3765,8.7906
1,2,12,60,27.8199,0.9266,0.5091,11.8932
1,2,12,70,26.2574,0.906,0.6433,17.9358
1,2,12,80,24.3774,0.877,0.7698,35.9703
1,2,13,10,31.9592,0.9771,0.0189,5.2112
1,2,13,20,28.0994,0.9469,0.0725,5.4972
1,2,13,30,25.8156,0.9094,0.1551,6.14
1,2,13,40,23.946,0.8636,0.2595,7.035
1,2,13,50,22.4602,0.8122,0.3765,8.5245
1,2,13,60,21.1513,0.7505,0.5091,11.57
1,2,13,70,19.9246,0.6847,0.6433,18.7211
1,2,13,80,18.6629,0.6109,0.7698,35.8665
1,2,14,10,33.6722,0.9851,0.0189,5.2291
1,2,14,20,30.544,0.9706,0.0725,5.6276
1,2,14,30,28.1614,0.9483,0.1551,6.0807
1,2,14,40,26.3581,0.9197,0.2595,7.0529
1,2,14,50,24.9089,0.8828,0.3765,8.5673
1,2,14,60,23.5524,0.8296,0.5091,11.4682
1,2,14,70,22.1431,0.7614,0.6433,18.0478
1,2,14,80,20.5036,0.6753,0.7698,35.8109
1,2,15,10,37.7164,0.9889,0.0189,5.2919
1,2,15,20,34.5661,0.9788,0.0725,5.606
1,2,15,30,32.7596,0.9695,0.1551,6.1888
1,2,15,40,31.0417,0.9574,0.2595,7.085
1,2,15,50,29.5276,0.9435,0.3765,8.5278
1,2,15,60,27.8854,0.9244,0.5091,11.4589
1,2,15,70,25.8354,0.8981,0.6433,17.8552
1,2,15,80,23.6317,0.8575,0.7698,35.8653
1,2,16,10,36.4948,0.9761,0.0189,5.2629
1,2,16,20,34.3641,0.9554,0.0725,5.6388
1,2,16,30,32.2429,0.9289,0.1551,6.1831
1,2,16,40,30.7211,0.8988,0.2595,7.0965
1,2,16,50,29.3081,0.8634,0.3765,8.5992
1,2,16,60,28.0323,0.8211,0.5091,11.4828
1,2,16,70,26.6591,0.7738,0.6433,17.8533
1,2,16,80,25.2584,0.7183,0.7698,35.6799
1,2,17,10,39.8802,0.9817,0.0194,5.2268
1,2,17,20,35.3138,0.9652,0.0726,5.6077
1,2,17,30,31.7285,0.9432,0.1554,6.1384
1,2,17,40,29.5255,0.9176,0.2589,7.0343
1,2,17,50,27.9015,0.8858,0.3758,8.5522
1,2,17,60,26.3048,0.8426,0.5087,11.4113
