AuSR,Dataset,File,TR,ATR,TPR,FNR,FPR,TNR,Precision,F1Score,Accuracy,Time
1,2,2,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.2099
1,2,2,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.1586
1,2,2,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.1921
1,2,2,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,4.0035
1,2,2,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.9634
1,2,3,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.341
1,2,3,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.2736
1,2,3,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.2368
1,2,3,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.4285
1,2,3,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.0961
1,2,3,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.0742
1,2,3,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,4.0062
1,2,3,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.9575
1,2,4,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,5.2408
1,2,4,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.2962
1,2,4,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.2548
1,2,4,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.1867
1,2,4,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.0973
1,2,4,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.0568
1,2,4,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,3.9683
1,2,4,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.932
1,2,5,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.3705
1,2,5,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.2808
1,2,5,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.2592
1,2,5,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.2896
1,2,5,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.1666
1,2,5,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.1036
1,2,5,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,4.0089
1,2,5,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.9525
1,2,6,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.3639
1,2,6,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.3536
1,2,6,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.2904
1,2,6,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.1509
1,2,6,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.1054
1,2,6,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.0901
1,2,6,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,4.025
1,2,6,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.929
1,2,7,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.3519
1,2,7,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.2647
1,2,7,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.1942
1,2,7,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.1734
1,2,7,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.1038
1,2,7,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.0442
1,2,7,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,3.994
1,2,7,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.9319
1,2,8,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.3711
